timestamps,TP9,AF7,AF8,TP10,Right AUX
1732204952.246,-31.738,-32.715,-14.648,0.000,0.000
1732204952.250,-30.762,-27.344,-22.949,11.230,0.000
1732204952.254,-41.016,-28.809,-31.250,4.395,0.000
1732204952.258,-66.895,-27.832,-21.484,13.184,0.000
1732204952.262,-40.039,-31.250,-32.715,-33.203,0.000
1732204952.266,-15.137,-32.227,-37.598,-46.387,0.000
1732204952.270,-46.875,-26.855,-39.551,-47.363,0.000
1732204952.274,-54.688,-32.715,-40.527,-72.266,0.000
1732204952.277,-39.062,-31.250,-35.645,-50.293,0.000
1732204952.281,-36.621,-24.902,-35.156,-51.758,0.000
1732204952.285,-57.129,-30.762,-32.715,-39.062,0.000
1732204952.289,-47.363,-37.598,-31.250,-26.367,0.000
1732204952.293,-26.367,-29.785,-22.949,-45.898,0.000
1732204952.297,-25.879,-20.020,-22.949,-41.016,0.000
1732204952.301,-21.973,-21.484,-29.785,-19.043,0.000
1732204952.305,-13.672,-20.508,-31.250,-18.555,0.000
1732204952.309,0.000,-19.043,0.000,-5.371,0.000
1732204952.313,0.000,-9.766,0.000,-52.734,0.000
1732204952.317,0.000,-6.836,0.000,-77.148,0.000
1732204952.321,0.000,-5.859,0.000,-55.176,0.000
1732204952.325,0.000,-9.277,0.000,-32.715,0.000
1732204952.329,0.000,-9.766,0.000,-33.691,0.000
1732204952.333,0.000,-9.277,0.000,-33.691,0.000
1732204952.336,0.000,-19.531,0.000,-18.066,0.000
1732204952.340,0.000,-26.367,0.000,-2.441,0.000
1732204952.344,0.000,-31.250,0.000,-22.461,0.000
1732204952.348,0.000,-25.391,0.000,-46.387,0.000
1732204952.352,0.000,-23.438,0.000,-37.109,0.000
1732204952.356,-20.020,-21.973,-31.250,0.000,0.000
1732204952.360,-20.508,-14.648,-30.762,0.000,0.000
1732204952.364,-10.742,-14.160,-31.738,0.000,0.000
1732204952.368,-25.391,-20.508,-29.785,0.000,0.000
1732204952.372,-25.391,-20.508,-34.180,0.000,0.000
1732204952.376,-23.926,-14.648,-24.414,0.000,0.000
1732204952.379,-33.691,-16.602,-21.484,0.000,0.000
1732204952.383,-59.570,-24.414,-26.855,0.000,0.000
1732204952.387,-48.828,-19.531,-22.949,0.000,0.000
1732204952.391,-29.785,-12.695,-25.391,0.000,0.000
1732204952.395,-32.227,-15.137,-35.156,0.000,0.000
1732204952.399,-37.109,-24.414,-36.621,0.000,0.000
1732204952.403,-62.988,-34.180,-29.785,-48.340,0.000
1732204952.407,-60.547,-36.133,-37.598,-63.477,0.000
1732204952.411,-37.598,-22.461,-38.574,-54.688,0.000
1732204952.415,-26.855,-21.973,-29.785,-35.645,0.000
1732204952.419,-40.039,-26.855,-33.203,-24.902,0.000
1732204952.423,-66.406,-21.973,-34.180,-37.598,0.000
1732204952.426,-90.332,-34.180,-25.879,-38.086,0.000
1732204952.430,-79.590,-36.621,-28.809,-18.066,0.000
1732204952.434,-56.152,-31.738,-30.762,-7.812,0.000
1732204952.438,-69.824,-36.621,-23.926,-21.484,0.000
1732204952.442,-50.781,-30.273,-30.762,-16.602,0.000
1732204952.446,-35.645,-22.461,-31.250,-15.625,0.000
1732204952.450,-59.570,-20.996,-32.715,-46.875,0.000
1732204952.454,-47.852,-23.438,-35.156,-58.105,0.000
1732204952.458,-32.715,-21.484,-30.273,-62.012,0.000
1732204952.462,-34.180,-18.066,-27.344,-57.129,0.000
1732204952.466,-34.668,-22.949,-24.414,-38.574,0.000
1732204952.470,-51.758,-24.902,-29.297,-13.672,0.000
1732204952.473,-53.711,-13.672,-28.809,3.906,0.000
1732204952.477,-54.688,-3.906,-20.996,-3.418,0.000
1732204952.481,-44.434,-9.766,-19.531,-0.977,0.000
1732204952.485,-29.785,-24.902,-14.648,11.719,0.000
1732204952.489,-39.551,-19.043,-18.066,-29.785,0.000
1732204952.493,-24.902,-16.602,-20.996,-38.574,0.000
1732204952.497,-26.855,-21.484,-17.578,-37.598,0.000
1732204952.501,-46.875,-6.836,-20.508,-41.016,0.000
1732204952.505,-43.945,-11.230,-25.391,-26.855,0.000
1732204952.509,-17.578,-14.160,-15.625,-38.086,0.000
1732204952.513,-8.789,-9.766,-8.789,-36.621,0.000
1732204952.516,-14.160,-15.625,-18.555,-23.438,0.000
1732204952.520,-31.250,-25.391,-24.902,-22.949,0.000
1732204952.524,-28.809,-20.020,-25.879,-1.953,0.000
1732204952.528,-13.184,-20.996,-25.391,-4.395,0.000
1732204952.532,-13.184,-29.785,-35.156,-26.367,0.000
1732204952.536,-23.926,-26.367,-25.879,-8.301,0.000
1732204952.540,-26.855,-20.020,-16.113,-15.137,0.000
1732204952.544,-27.832,-15.625,-21.973,-27.832,0.000
1732204952.548,-29.785,-20.020,-31.738,-29.785,0.000
1732204952.552,-35.156,-20.508,-33.691,-54.199,0.000
1732204952.556,-38.086,-18.066,-25.391,-43.457,0.000
1732204952.559,-25.879,-20.020,-25.391,-38.086,0.000
1732204952.563,-28.809,-18.555,-26.367,-34.668,0.000
1732204952.567,-34.180,-18.066,-22.949,-36.133,0.000
1732204952.571,-17.578,-15.137,-18.555,-41.504,0.000
1732204952.575,-17.578,-24.902,-20.996,-45.898,0.000
1732204952.579,-12.207,-23.438,-31.250,-39.062,0.000
1732204952.583,-36.133,-19.531,-26.855,-21.484,0.000
1732204952.587,-55.664,-16.113,-27.344,-33.691,0.000
1732204952.591,-43.457,-11.719,-36.621,-31.738,0.000
1732204952.595,-46.875,-21.973,-23.926,-5.371,0.000
1732204952.599,-29.785,-24.902,-20.508,-5.859,0.000
1732204952.602,-17.090,-22.461,-29.297,-22.949,0.000
1732204952.606,-21.973,-21.973,-31.250,-40.039,0.000
1732204952.610,-29.785,-23.926,-28.809,-40.527,0.000
1732204952.614,-17.090,-19.531,-26.855,-39.551,0.000
1732204952.618,-20.996,-14.160,-26.367,-42.480,0.000
1732204952.622,-39.551,-16.113,-20.020,-47.852,0.000
1732204952.626,-55.176,-12.207,-35.156,-69.824,0.000
