timestamps,TP9,AF7,AF8,TP10,Right AUX
1733122772.217,-36.133,-36.621,-38.086,-33.691,0.000
1733122772.221,-12.695,-21.484,-35.645,-30.273,0.000
1733122772.225,-6.348,-18.555,-31.738,-23.438,0.000
1733122772.229,-15.137,-27.344,-38.086,-25.391,0.000
1733122772.233,-27.344,-31.250,-39.551,-22.461,0.000
1733122772.237,-32.227,-22.461,-35.645,-28.320,0.000
1733122772.241,-26.855,-22.461,-37.109,-36.133,0.000
1733122772.245,-19.043,-31.738,-34.668,-30.273,0.000
1733122772.249,-25.391,-35.156,-37.109,-29.297,0.000
1733122772.252,-43.457,-34.668,-43.945,-41.016,0.000
1733122772.257,-46.875,-36.621,-42.969,-41.992,0.000
1733122772.261,-30.762,-35.156,-40.527,-41.504,0.000
1733122772.264,-18.066,-33.691,-39.062,-35.156,0.000
1733122772.268,-16.602,-28.320,-37.598,-19.043,0.000
1733122772.272,-28.320,-26.367,-39.062,-16.113,0.000
1733122772.276,-42.969,-40.527,-43.945,-26.855,0.000
1733122772.280,-32.715,-38.086,-41.016,-25.391,0.000
1733122772.284,-20.996,-32.715,-40.527,-24.414,0.000
1733122772.288,-23.438,-40.039,-44.922,-25.391,0.000
1733122772.292,-33.691,-36.621,-44.434,-17.578,0.000
1733122772.295,-47.363,-33.691,-41.504,-21.484,0.000
1733122772.299,-32.715,-33.203,-41.992,-22.949,0.000
1733122772.304,-23.926,-41.504,-46.387,-21.484,0.000
1733122772.307,-26.367,-39.551,-47.363,-23.438,0.000
1733122772.311,-36.621,-36.133,-50.781,-23.926,0.000
1733122772.315,-49.805,-41.016,-54.199,-24.902,0.000
1733122772.319,-39.062,-40.527,-52.246,-28.320,0.000
1733122772.323,-22.949,-40.039,-49.316,-29.297,0.000
1733122772.327,-15.137,-38.574,-47.363,-16.602,0.000
1733122772.331,-25.391,-42.969,-51.270,-18.066,0.000
1733122772.335,-49.805,-46.875,-55.176,-41.992,0.000
1733122772.339,-49.316,-49.316,-57.129,-47.363,0.000
1733122772.342,-36.133,-41.016,-54.199,-44.434,0.000
1733122772.346,-32.227,-31.250,-49.805,-40.039,0.000
1733122772.350,-40.039,-37.109,-49.316,-33.691,0.000
1733122772.354,-52.734,-44.434,-48.340,-34.668,0.000
1733122772.358,-46.387,-39.551,-45.410,-39.062,0.000
1733122772.362,-30.273,-35.645,-42.969,-39.551,0.000
1733122772.366,-28.809,-44.434,-45.410,-35.645,0.000
1733122772.370,-44.922,-53.223,-47.363,-36.133,0.000
1733122772.374,-59.570,-49.805,-46.875,-33.691,0.000
1733122772.378,-53.711,-41.992,-42.480,-35.156,0.000
1733122772.382,-31.738,-41.992,-38.086,-28.320,0.000
1733122772.385,-19.531,-31.250,-36.621,-18.555,0.000
1733122772.389,-23.438,-26.855,-43.945,-27.344,0.000
1733122772.393,-40.039,-37.109,-52.734,-38.086,0.000
1733122772.397,-39.062,-30.273,-54.688,-40.527,0.000
1733122772.401,-16.602,-20.508,-51.758,-30.273,0.000
1733122772.405,-6.348,-24.902,-49.805,-19.043,0.000
1733122772.409,-8.301,-33.691,-50.293,-15.625,0.000
1733122772.413,-26.855,-40.039,-49.805,-19.043,0.000
1733122772.417,-37.598,-36.621,-50.293,-28.809,0.000
1733122772.421,-20.020,-29.297,-48.340,-28.320,0.000
1733122772.425,-10.254,-30.762,-45.410,-25.391,0.000
1733122772.428,-18.066,-41.016,-51.758,-20.020,0.000
1733122772.432,-32.227,-39.062,-54.688,-14.160,0.000
1733122772.436,-39.062,-31.250,-51.758,-20.020,0.000
1733122772.440,-24.902,-29.297,-53.223,-11.230,0.000
1733122772.444,-13.184,-28.809,-56.152,-6.348,0.000
1733122772.448,-14.648,-29.297,-58.594,-20.996,0.000
1733122772.452,-29.297,-34.180,-53.223,-21.973,0.000
1733122772.456,-44.434,-37.598,-48.340,-22.949,0.000
1733122772.460,-33.203,-33.203,-46.387,-28.320,0.000
1733122772.464,-22.949,-30.273,-41.992,-26.367,0.000
1733122772.468,-26.367,-30.762,-40.039,-26.367,0.000
1733122772.471,-39.551,-37.109,-42.969,-23.438,0.000
1733122772.475,-53.223,-40.527,-46.875,-25.879,0.000
1733122772.479,-43.457,-35.156,-48.828,-34.668,0.000
1733122772.483,-30.273,-36.133,-45.410,-31.250,0.000
1733122772.487,-30.762,-41.504,-48.340,-29.785,0.000
1733122772.491,-40.527,-46.875,-60.059,-33.203,0.000
1733122772.495,-55.176,-44.434,-62.500,-34.668,0.000
1733122772.499,-44.922,-40.039,-58.105,-33.691,0.000
1733122772.503,-27.344,-37.109,-49.805,-28.809,0.000
1733122772.507,-29.785,-32.227,-45.898,-29.785,0.000
1733122772.511,-39.062,-41.992,-45.898,-34.180,0.000
1733122772.514,-39.062,-45.898,-41.992,-33.203,0.000
1733122772.518,-23.438,-41.504,-40.527,-29.785,0.000
1733122772.522,-7.324,-31.250,-38.086,-33.691,0.000
